,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
48,Bismack Biyombo,PHX,C,29,3,20.2,42.1,13.1,0.0,8,0.625,15,0.733,0,0.0,0.733,0.729,9.0,5.0,12.9,1.3,9.4,1.0,2.33,0.0,7.7,162.0,97.0
49,Nemanja Bjelica,GSW,F,33,38,15.1,31.5,20.1,16.2,46,0.674,107,0.533,95,0.389,0.557,0.576,6.7,3.9,14.0,1.6,15.2,0.61,0.32,1.13,9.2,108.4,94.1
50,Eric Bledsoe,LAC,G,32,40,26.7,55.6,19.9,18.8,89,0.787,231,0.476,123,0.317,0.476,0.518,10.2,3.6,7.1,4.0,22.3,1.3,0.4,2.28,7.9,98.7,104.3
51,Keljin Blevins,POR,G,26,3,4.7,9.8,18.6,33.3,0,0.0,1,0.0,3,0.667,0.75,0.75,2.0,0.3,3.9,0.3,10.6,0.0,0.0,0.67,4.8,94.3,123.3
52,Bojan Bogdanovic,UTA,F,32,39,30.4,63.3,22.9,10.5,144,0.868,250,0.548,252,0.417,0.587,0.631,18.3,4.2,7.4,1.6,8.0,0.49,0.03,1.69,6.5,119.9,107.6
53,Bogdan Bogdanovic,ATL,G,29,25,28.7,59.8,18.3,8.0,31,0.742,114,0.474,150,0.367,0.517,0.533,11.8,3.6,6.8,2.5,12.3,0.68,0.2,0.96,6.6,108.4,111.3
54,Bol Bol,DEN,C-F,22,13,6.2,12.9,17.8,12.4,3,0.667,23,0.609,4,0.25,0.574,0.583,2.5,1.5,13.7,0.4,9.6,0.08,0.15,0.31,7.4,109.4,107.6
55,Leandro Bolmaro,MIN,F,21,23,8.0,16.7,10.9,25.0,9,0.889,20,0.35,12,0.167,0.313,0.389,1.2,1.5,10.0,0.5,7.7,0.22,0.0,0.52,4.8,86.3,102.3
56,Isaac Bonga,TOR,G,22,12,5.3,11.0,11.9,11.3,6,0.667,9,0.222,4,0.25,0.269,0.352,0.9,0.6,6.0,0.3,6.0,0.58,0.17,0.17,4.1,88.6,95.1
57,Devin Booker,PHX,G,25,32,32.7,68.2,31.4,11.1,147,0.878,411,0.455,205,0.41,0.508,0.555,23.6,5.4,8.6,4.5,21.9,0.97,0.31,2.66,10.2,107.7,101.4
58,Brandon Boston Jr.,LAC,G,20,23,15.6,32.5,22.8,9.1,36,0.833,99,0.404,55,0.291,0.416,0.465,6.9,2.1,7.0,0.8,7.7,0.7,0.22,0.74,5.8,91.8,106.0
59,Chris Boucher,TOR,F-C,29,34,17.4,36.3,20.9,7.6,74,0.757,140,0.579,96,0.24,0.489,0.534,8.4,5.1,15.9,0.4,3.1,0.56,0.91,0.65,5.9,113.8,101.2
60,James Bouknight,CHA,G,21,18,8.2,17.0,22.3,7.8,10,0.8,39,0.308,28,0.393,0.425,0.455,3.6,1.5,9.7,0.8,13.1,0.06,0.0,0.33,7.9,103.2,112.9
61,Avery Bradley,LAL,G,31,32,23.8,49.5,11.8,7.2,5,1.0,81,0.494,111,0.405,0.56,0.566,6.9,2.6,5.7,0.8,4.4,0.91,0.25,0.47,4.1,110.6,106.5
62,Tony Bradley,CHI,C-F,24,24,12.6,26.2,13.5,17.2,9,0.778,73,0.589,0,0.0,0.589,0.604,3.9,4.4,19.2,0.6,6.5,0.21,0.63,0.67,6.9,120.7,99.6
63,Ignas Brazdeikis,ORL,F,23,16,9.0,18.7,14.9,10.1,6,0.833,20,0.4,22,0.182,0.333,0.37,2.1,1.4,8.2,0.5,8.1,0.25,0.06,0.31,5.1,84.1,105.4
